,Parada,Lat,Lon
0,Parque Sur de Bomberos,37.16507676245753,-3.5985320806503296
0,Plaza de las Américas 2,37.16246,-3.60282
0,Avda. Fernando de los Ríos 2,37.15880,-3.60659
0,Río Monachil,37.15469278582922,-3.610914230371236
0,Htal. Campus de la Salud,37.14718594804694,-3.6076735854476283
0,Avda. de las Palmeras,37.14325030059749,-3.614228367805481
0,Polideportivo,37.138484403839016,-3.6199206858873367
0,Tierno Galván,37.14021,-3.62834
0,Base Aérea,37.13726,-3.62882
0,Las Pedrizas 1,37.12211,-3.63152
0,Ctra. de Motril 1,37.127788373499826,-3.6305952072143555
0,Ctra. de Motril 2,37.11569,-3.63436
0,Ctra. de Motril 3,37.11003,-3.63927
0,Ctra. de Motril 4,37.107221746088065,-3.6417585611343384
0,Ctra. de Motril 5,37.10342,-3.64465
0,Ctra. de Motril 6,37.09787,-3.64832
0,Ctra. de Motril 7,37.095443040152624,-3.648190498352051
0,Ctra. de Motril 8,37.08625,-3.64853
0,Suspiro del Moro,37.070210853362184,-3.651551306247711
0,Urb. Cañada del Parque,37.05323346067377,-3.649488687515259
0,Ctra. de Motril 9,37.04736,-3.64756
0,Urb. El Puntal,37.03806,-3.64076
0,Ctra. de Motril 10,37.02843,-3.63589
0,Avda. de Andalucía 1,37.02617500925422,-3.6312628090627186
0,Avda. de Andalucía 2,37.02267689421227,-3.625743225225051
0,Avda. de Andalucía 3,37.02387021806183,-3.621171668196439
0,Ctra. Antigua de Motril 1,37.02374,-3.61774
0,Ctra. Antigua de Motril 2,37.02177,-3.61213
0,Acceso a Padul,37.0201,-3.60632
0,Ctra. Antigua de Motril 3,37.01808,-3.59962
0,Ctra. Antigua de Motril 4,37.01355,-3.59174
0,Ctra. de Motril 11,37.00881,-3.58623
0,Marchena,37.00539,-3.58249
0,El Zahor,36.99979,-3.5779
0,Puente de Dúrcal,36.99836,-3.57481
0,Ctra. de Motril 12,36.99193,-3.56547
0,Ctra. de Motril 13,36.98741875684996,-3.559531420469284
0,Ctra. Bailén Motril,36.97375612272105,-3.5573118925094604
0,Nigüelas,36.97580465641243,-3.541497588157654
