,Parada,Lat,Lon
0,Estación de Autobuses,37.19937,-3.61398
0,Neptuno,37.1686227354907,-3.6079198122024536
0,Plaza de las Américas 2,37.16246,-3.60282
0,Río Monachil,37.15469278582922,-3.610914230371236
0,Cno. Bajo de Armilla,37.147761482968306,-3.622029572725296
0,San Cayetano 2,37.14284363956995,-3.632456660270691
0,Real de Málaga 2,37.13337,-3.67124
0,La Malahá,37.10167,-3.72215
0,Políg. Metropolitano,37.08767,-3.75429
0,Escúzar 1,37.06315,-3.763
0,Ayuntamiento,37.06684,-3.82088
0,Agrón,37.03092,-3.83059
