,Parada,Lat,Lon
0,Palacio de Congresos,37.16640627,-3.59800255
0,Acera del Darro,37.17099301668047,-3.5982678830623627
0,Catedral,37.176819018563975,-3.598039090666134
0,Gran Via 54,37.182054770464035,-3.60089510679245
0,Constitución 4,37.1838510840891,-3.6034630537687917
0,Plaza San Isidro,37.18724208101103,-3.6039675772190094
0,Estación de Autobuses,37.19937,-3.61398
0,Plaza de Europa,37.19710948825433,-3.621811509165127
0,Avda. de Andalucía 4,37.19466877056519,-3.6270325630903244
0,Avda. Palos de la Frontera 2,37.19233074820618,-3.7176328897476196
0,Aeropuerto,37.184875087563,-3.778626322746277
0,Palacio de Congresos,37.16640627,-3.59800255
