,Parada,Lat,Lon
0,Rector Marín Ocete,37.18300090691289,-3.6059443652629852
0,Ribera del Beiro 1,37.19009254611427,-3.610699251294136
0,Avda. de Juan Pablo II 1,37.19388943782329,-3.608314096927643
0,Estación de Autobuses 1,37.200129215648786,-3.613198399543762
0,Acceso a Maracena,37.209430772193244,-3.6220818758010864
0,Cruce Pol. Ind. Asegra,37.22063,-3.62887
0,Acceso a Albolote,37.23315159931341,-3.641069233417511
0,El Chaparral 1,37.254975066629875,-3.656352460384369
0,El Chaparral 2,37.25731701856034,-3.656969368457794
0,Acceso Al Chaparral,37.258583499605216,-3.657491058111191
0,Camping,37.268488322608974,-3.680843710899353
0,Residencia,37.2699653957905,-3.6834293603897095
0,Embalse de Cubillas,37.271139349472804,-3.6820976436138153
0,Urb. Llanos de Silva 1,37.285339537183994,-3.676658123731613
0,Urb. Llanos de Silva 1,37.28535340845547,-3.6750608682632446
0,Urb. Cubillas 1,37.28660608043148,-3.6705145239830017
0,Urb. Cubillas 2,37.28525257492365,-3.668879047036171
0,Urb. Cubillas 1,37.2867106466551,-3.6703602969646454
0,Centro Penitenciario de Albolote,37.32872489894972,-3.675834685564041
