,Parada,Lat,Lon
0,Paseo de los Basilios,37.16777206640298,-3.5961489379405975
0,Avda. de Cervantes 1,37.165683825551675,-3.5895761847496032
0,Cno. de Huétor,37.16266250700385,-3.5871172696352005
0,Cno. Bajo de Huétor,37.15663179929529,-3.5853161662817
0,Ctra. de Huétor 1,37.152711714907866,-3.5818802565336227
0,Ctra. de Huétor 2,37.15086142860768,-3.5797331482172012
0,Ctra. de Huétor 3,37.148576567195335,-3.5778723657131195
0,Avda. de Andalucía 1,37.14664547143094,-3.5755227506160736
0,Avda. de Andalucía 2,37.1460618036661,-3.574078381061554
0,Avda. de Andalucía 3,37.14495806064444,-3.572327569127083
0,Avda. de Andalucía 4,37.142466695758685,-3.569909557700157
0,Río Monachil,37.14098017614254,-3.5695206373929977
0,Ctra. de Monachil 1,37.138069057428275,-3.5672803223133087
0,Ctra. de Monachil 2,37.13655198127916,-3.563913479447365
0,Ctra. de Monachil 3,37.13624,-3.55964
0,Ctra. de Monachil 4,37.137088681181346,-3.5588809847831726
0,Ctra. de Monachil 5,37.13658,-3.55759
0,Cruce de Colinas Bermejas,37.13587415165938,-3.556435346595208
0,Madrid 2,37.1348103531827,-3.5590432584285736
0,Madrid 3,37.13332154477422,-3.5605285316705704
0,Madrid 4,37.13268,-3.56242
0,Madrid 5,37.13191610414118,-3.563484326004982
0,Bco. Malacabí 1,37.13069,-3.56447
0,España 1,37.12919816771919,-3.566548079252243
0,España 2,37.12645874828966,-3.5690975189208984
0,Libreros,37.124544196651875,-3.5700617730617523
