,Parada,Lat,Lon
0,Parque Sur de Bomberos,37.16507676245753,-3.5985320806503296
0,Plaza de las Américas 1,37.16286232738963,-3.602193295955658
0,Avda. de Andalucía 1,37.150504406860634,-3.6662256717681885
0,Avda. de Andalucía 2,37.153016884873004,-3.6685846745967865
0,Avda. de Andalucía 3,37.15483398350728,-3.67067813873291
0,Avda. de Andalucía 4,37.159481816205584,-3.673515245318413
0,Acceso a Ambroz,37.16581474306285,-3.6713439971208572
0,Avda. de San Antón 1,37.16433776664144,-3.667175844311714
0,Avda. de San Antón 2,37.16415715032279,-3.6637157946825027
0,Ancha,37.16495335511228,-3.6620434373617172
0,Ancha 1,37.167588786570626,-3.662707954645157
0,Plaza Mayor,37.17006222531313,-3.664219379425049
0,Selva Florida,37.1721749235243,-3.6654290556907654
0,Ayuntamiento,37.1719697475321,-3.6676740646362305
0,Cno. del Purchilejo 1,37.1728182321379,-3.6701953411102295
0,Cno. del Purchilejo 2,37.173371772374885,-3.674905300140381
0,Avda. de la Vega 1,37.17429076844623,-3.685123175382614
0,Avda. de la Vega 2,37.17466263809839,-3.6876726150512695
0,Cno. Ancho,37.17498802254261,-3.691917210817337
0,Plaza de la Constitución,37.17100797764212,-3.692290037870407
0,Cno. Caleta,37.16840686308617,-3.6915376782417297
0,Cno. Alto,37.16427,-3.69133
0,Cno. Viejo de Santa Fe,37.16166214287358,-3.6908403038978577
0,Clavel 1,37.16067245336653,-3.6924992501735687
0,Clavel 2,37.159684354102,-3.6958613991737366
0,Parque Sur de Bomberos,37.16507676245753,-3.5985320806503296
