,Parada,Lat,Lon
0,Parque Sur de Bomberos,37.16507676245753,-3.5985320806503296
0,Plaza de las Américas 2,37.16246,-3.60282
0,Avda. Fernando de los Ríos 2,37.15880,-3.60659
0,Río Monachil,37.15469278582922,-3.610914230371236
0,Htal. Campus de la Salud,37.14718594804694,-3.6076735854476283
0,Ctra. de Motril 9,37.04736,-3.64756
0,Urb. El Puntal,37.03806,-3.64076
0,Ctra. de Motril 10,37.02843,-3.63589
0,Avda. de Andalucía 1,37.02617500925422,-3.6312628090627186
0,Avda. de Andalucía 2,37.02267689421227,-3.625743225225051
0,Avda. de Andalucía 3,37.02387021806183,-3.621171668196439
0,Ctra. Antigua de Motril 1,37.02374,-3.61774
0,Ctra. Antigua de Motril 2,37.02177,-3.61213
0,Acceso a Padul,37.0201,-3.60632
0,Ctra. Antigua de Motril 3,37.01808,-3.59962
0,Ctra. Antigua de Motril 4,37.01355,-3.59174
0,Ctra. de Motril 11,37.00881,-3.58623
0,Marchena,37.00539,-3.58249
0,El Zahor,36.99979,-3.5779
0,Puente de Dúrcal,36.99836,-3.57481
0,Ctra. de Motril 12,36.99193,-3.56547
0,Ctra. de Motril 13,36.98741875684996,-3.559531420469284
0,Ctra. Bailén Motril,36.97375612272105,-3.5573118925094604
0,Nigüelas,36.97580465641243,-3.541497588157654
