,Parada,Lat,Lon
0,Rector Marín Ocete,37.18300090691289,-3.6059443652629852
0,Francisco Pradilla,37.19040130442873,-3.6147889494895935
0,Francisco Ayala 2,37.19162350488207,-3.6153173446655273
0,Francisco Ayala 3,37.1951425624811,-3.6189624667167664
0,Plaza de Europa,37.19710948825433,-3.621811509165127
0,La Terrona,37.20082356067787,-3.624412715435028
0,Avda. de Maracena,37.20352396800272,-3.626563847064972
0,Avda. de Blas de Otero 1,37.205760703759935,-3.6284011602401733
0,Avda. de Blas de Otero 2,37.20801766744098,-3.63122820854187
0,Avda. de Blas de Otero 3,37.210382440073566,-3.6330588161945343
0,Ctra. de Albolote 1,37.21299172152325,-3.636150062084198
0,Ctra. de Albolote 2,37.217247123944595,-3.6409834027290344
0,Motril 1,37.22058856370582,-3.6441929341344803
0,Motril 2,37.222496518367,-3.645621746827601
0,Motril 3,37.22488,-3.64782
0,Motril 4,37.226618757360896,-3.6497909724630517
0,Jacobo Camarero,37.22829,-3.65351
0,Avda. Reyes Católicos 1,37.228127084707175,-3.654521048060815
0,Avda. Reyes Católicos 2,37.22796,-3.65633
0,Avda. Reyes Católicos 3,37.22762573606228,-3.659539595246315
0,Ilíberis,37.22521878901997,-3.676694333553314
0,Avda. de Andalucía 1,37.22402810136827,-3.6814193130521744
0,Avda. de Andalucía 2,37.22300292025807,-3.68563212454319
0,Avda. de Andalucía 3,37.222967145457275,-3.6877624690532684
0,Avda. de la Estación 1,37.222915352058905,-3.689747303724289
0,Avda. de la Estación 2,37.22208505097208,-3.692941814661026
0,Sierra Elvira,37.23180193791784,-3.7262025475502014
0,Rector Marín Ocete,37.18300090691289,-3.6059443652629852
