,0,1,2,3,4,5,6,7
0,Nigüelas,Dúrcal,Marchena,Padul,Alhendín,P.T. Ciencias Salud,Granada,Parque Sur de Bomberos
0,06:40,06:50,06:55,07:05,07:12,07:32,07:35,07:40
0,06:50,07:00,07:05,07:15,07:22,07:37,07:45,07:50
0,07:40,07:50,07:55,08:05,08:12,--,08:35,08:40
0,07:50,08:00,08:05,08:15,08:22,08:37,08:45,08:50
0,08:50,09:00,09:05,09:15,09:22,09:37,09:45,09:50
0,--,08:50,08:55,09:05,09:12,--,09:35,09:40
0,--,09:00,09:05,09:15,09:22,09:37,09:45,09:50
0,--,10:00,10:05,10:15,10:22,10:37,10:45,10:50
0,10:15,10:25,10:30,10:40,10:47,--,11:10,11:15
0,--,11:00,11:05,11:15,11:22,11:37,11:45,11:50
0,--,11:00,11:05,11:15,11:22,11:37,11:45,11:50
0,--,11:00,11:05,11:15,11:22,--,11:45,11:50
0,--,12:00,12:05,12:15,12:22,12:37,12:45,12:50
0,--,12:00,12:05,12:15,12:22,--,12:45,12:50
0,--,13:00,13:05,13:15,13:22,13:37,13:45,13:50
0,--,13:00,13:05,13:15,13:22,13:37,13:45,13:50
0,--,13:00,13:05,13:15,13:22,--,13:45,13:50
0,--,14:00,14:05,14:15,14:22,14:37,14:45,14:50
0,--,14:00,14:05,14:15,14:22,--,14:45,14:50
0,14:50,15:00,15:05,15:15,15:22,15:37,15:45,15:50
0,14:50,15:00,15:05,15:15,15:22,15:37,15:45,15:50
0,--,15:00,15:05,15:15,15:22,--,15:45,15:50
0,--,16:00,16:05,16:15,16:22,16:37,16:45,16:50
0,--,16:00,16:05,16:15,16:22,16:37,16:45,16:50
0,--,16:00,16:05,16:15,16:22,--,16:45,16:50
0,--,17:00,17:05,17:15,17:22,17:37,17:45,17:50
0,--,17:00,17:05,17:15,17:22,17:37,17:45,17:50
0,--,17:00,17:05,17:15,17:22,--,17:45,17:50
0,--,18:00,18:05,18:15,18:22,18:37,18:45,18:50
0,--,18:00,18:05,18:15,18:22,18:37,18:45,18:50
0,--,18:30,18:35,18:45,18:52,--,19:15,19:20
0,--,19:00,19:05,19:15,19:22,19:37,19:45,19:50
0,--,19:00,19:05,19:15,19:22,19:37,19:45,19:50
0,--,19:00,19:05,19:15,19:22,--,19:45,19:50
0,--,20:00,20:05,20:15,20:22,20:37,20:45,20:50
0,--,20:00,20:05,20:15,20:22,20:37,20:45,20:50
0,--,20:00,20:05,20:15,20:22,--,20:45,20:50
0,--,21:00,21:05,21:15,21:22,21:37,21:45,21:50
0,--,21:00,21:05,21:15,21:22,--,21:45,21:50
0,--,21:00,21:05,21:15,21:22,21:37,21:45,21:50
0,21:50,22:00,22:05,22:15,22:22,22:37,22:45,22:50
0,21:50,22:00,22:05,22:15,22:22,--,22:45,22:50
0,21:50,22:00,22:05,22:15,22:22,22:37,22:45,22:50
