,0,1,2,3,4,5,6
0,Granada,Cúllar Vega,Ambroz,Purchil,Belicena,El Ventorrillo,C/Clavel 2
0,06:45,06:55,07:05,07:10,07:13,07:21,07:25
0,08:15,08:25,08:36,08:42,08:48,08:53,08:56
0,09:45,09:55,10:05,10:10,10:15,10:19,10:20
0,11:15,11:24,11:34,11:39,11:44,11:48,11:49
0,12:45,12:54,13:04,13:09,13:14,13:18,13:19
0,14:15,14:24,14:34,14:39,14:44,14:48,14:49
0,15:45,15:54,16:04,16:09,16:14,16:18,16:19
0,17:15,17:24,17:34,17:39,17:44,17:48,17:49
0,18:45,18:54,19:04,19:09,19:14,19:18,19:19
0,20:15,20:24,20:34,20:39,20:44,20:48,20:49
0,21:45,21:54,22:04,22:09,22:14,22:18,22:19
0,23:00,23:09,23:19,23:24,23:29,--,--
