,0,1,2
0,Atarfe,Granada,Rector Marín Ocete
0,07:00,07:20,07:31
0,07:30,07:50,08:01
0,08:00,08:20,08:31
0,08:30,08:50,09:01
0,09:00,09:20,09:31
0,09:30,09:50,10:01
0,10:00,10:20,10:31
0,10:30,10:50,11:01
0,11:00,11:20,11:31
0,11:30,11:50,12:01
0,12:00,12:20,12:31
0,12:30,12:50,13:01
0,13:00,13:20,13:31
0,13:30,13:50,14:01
0,14:00,14:20,14:31
0,14:30,14:50,15:01
0,15:00,15:20,15:31
0,16:00,16:20,16:31
0,17:00,17:20,17:31
0,18:00,18:20,18:31
0,19:00,19:20,19:31
0,20:00,20:20,20:31
0,21:00,21:20,21:31
0,22:00,22:20,22:31
