,0,1,2,3
0,LaZubia-Polideport.,LaZubia-ParqueEncina,Granada,Tierno Galván
0,07:05,07:15,07:25,07:35
0,07:20,07:30,07:50,08:00
0,08:05,08:15,08:25,08:35
0,08:20,08:30,08:50,09:00
0,08:20,08:30,08:50,09:00
0,09:05,09:15,09:25,09:35
0,09:20,09:30,09:50,10:00
0,10:05,10:15,10:25,10:35
0,10:20,10:30,10:50,11:00
0,10:20,10:30,10:50,11:00
0,11:05,11:15,11:25,11:35
0,11:20,11:30,11:50,12:00
0,11:20,11:30,11:50,12:00
0,12:05,12:15,12:25,12:35
0,12:20,12:30,12:50,13:00
0,12:20,12:30,12:50,13:00
0,13:05,13:15,13:25,13:35
0,13:20,13:30,13:50,14:00
0,13:20,13:30,13:50,14:00
0,14:05,14:15,14:25,14:35
0,14:20,14:30,14:50,15:00
0,14:20,14:30,14:50,15:00
0,15:05,15:15,15:25,15:35
0,15:20,15:30,15:50,16:00
0,15:20,15:30,15:50,16:00
0,16:05,16:15,16:25,16:35
0,16:20,16:30,16:50,17:00
0,16:20,16:30,16:50,17:00
0,17:05,17:15,17:25,17:35
0,17:20,17:30,17:50,18:00
0,17:20,17:30,17:50,18:00
0,18:05,18:15,18:25,18:35
0,18:20,18:30,18:50,19:00
0,18:20,18:30,18:50,19:00
0,19:05,19:15,19:25,19:35
0,19:20,19:30,19:50,20:00
0,19:20,19:30,19:50,20:00
0,20:05,20:15,20:25,20:35
0,20:20,20:30,20:50,21:00
0,20:20,20:30,20:50,21:00
0,21:05,21:15,21:25,21:35
0,21:20,21:30,21:50,22:00
0,21:20,21:30,21:50,22:00
0,22:20,22:30,--,--
0,22:20,22:30,--,--
