,0,1,2
0,Maracena,Granada,Prof. Emilio Orozco
0,06:45,06:56,07:05
0,07:25,07:41,07:50
0,07:30,07:51,08:00
0,07:50,08:21,08:30
0,08:15,08:31,08:40
0,08:25,08:51,09:00
0,09:00,09:21,09:30
0,09:05,09:21,09:30
0,09:30,09:51,10:00
0,10:00,10:21,10:30
0,10:30,10:51,11:00
0,11:00,11:21,11:30
0,11:30,11:51,12:00
0,12:00,12:21,12:30
0,12:30,12:51,13:00
0,13:00,13:21,13:30
0,13:30,13:51,14:00
0,14:00,14:21,14:30
0,14:30,14:51,15:00
0,15:00,15:21,15:30
0,16:00,16:31,17:00
0,17:00,17:31,18:00
0,18:00,18:31,19:00
0,19:00,19:31,20:00
0,20:00,20:31,21:00
0,21:00,21:21,21:30
