,0,1,2,3,4,5
0,Fuente Grande,Alfacar (Flor de Cuba),Jun (Cruce),Jun (Parque),Granada,Capitán Moreno
0,06:55,07:00,07:05,07:12,07:15,07:25
0,07:10,07:20,07:31,07:32,07:35,07:45
0,07:55,08:00,--,08:05,08:10,08:20
0,08:25,08:30,08:40,08:45,08:50,09:00
0,09:05,09:10,09:15,09:17,09:20,09:30
0,09:35,09:40,--,09:45,09:50,10:00
0,10:05,10:10,--,10:15,10:20,10:30
0,10:35,10:40,--,10:45,10:50,11:00
0,11:05,11:10,11:15,11:17,11:20,11:30
0,11:35,11:40,--,11:45,11:50,12:00
0,12:05,12:10,--,12:15,12:20,12:30
0,12:35,12:40,12:45,12:48,12:50,13:00
0,13:05,13:10,--,13:15,13:20,13:30
0,13:35,13:40,--,13:45,13:50,14:00
0,14:05,14:10,--,14:15,14:20,14:30
0,14:35,14:40,--,14:45,14:50,15:00
0,15:05,15:10,--,15:15,15:20,15:30
0,15:40,15:45,--,15:50,15:55,16:05
0,16:35,16:40,--,16:45,16:50,17:00
0,17:35,17:40,--,17:45,17:50,18:00
0,18:35,18:40,--,18:45,18:50,19:00
0,19:35,19:40,--,19:45,19:50,20:00
0,20:35,20:40,--,20:45,20:50,21:00
0,21:35,21:40,--,21:45,21:50,22:00
0,22:35,22:40,--,22:45,22:50,23:00
