,0,1,2,3,4,5,6
0,Granada,Jun (Cruce),Jun (Iglesia),Jun (Parque),Alfacar,Víznar,Urb. Víznar
0,09:00,09:08,09:10,09:12,09:45,--,--
0,11:00,11:13,11:15,11:17,--,11:40,--
0,11:00,11:13,11:15,11:17,11:45,--,--
0,13:00,13:13,13:15,13:17,13:30,13:43,13:45
0,13:00,13:13,13:15,13:17,13:45,--,--
0,14:30,14:43,14:45,14:47,15:00,15:08,15:10
0,17:00,17:13,17:15,17:17,17:45,--,--
0,18:00,18:13,18:15,18:17,--,18:40,--
0,19:00,19:13,19:15,19:17,19:45,--,--
0,20:00,20:13,20:15,20:17,20:30,20:38,20:40
0,21:00,21:13,21:15,21:17,21:30,21:38,21:40
0,23:00,23:13,23:15,23:17,23:40,--,--
0,23:00,23:13,23:15,23:17,23:30,23:38,23:40
