,0,1,2,3,4
0,Monachil,Cájar,Huétor Vega,Granada,Paseo los Basilios
0,--,07:00,07:07,07:16,07:20
0,07:40,07:50,07:55,08:05,08:10
0,07:45,07:55,08:00,08:10,08:15
0,08:40,08:50,08:55,09:05,09:10
0,08:45,08:55,09:00,09:10,09:15
0,09:40,09:50,09:55,10:05,10:10
0,09:45,09:55,10:00,10:10,10:15
0,10:40,10:50,10:55,11:05,11:10
0,10:45,10:55,11:00,11:10,11:15
0,11:40,11:50,11:55,12:05,12:10
0,11:45,11:55,12:00,12:10,12:15
0,12:40,12:50,12:55,13:05,13:10
0,12:45,12:55,13:00,13:10,13:15
0,13:40,13:50,13:55,14:05,14:10
0,13:45,13:55,14:00,14:10,14:15
0,14:45,14:55,15:00,15:10,15:15
0,15:40,15:50,15:55,16:05,16:10
0,16:40,16:50,16:55,17:05,17:10
0,17:40,17:50,17:55,18:05,18:10
0,18:40,18:50,18:55,19:05,19:10
0,19:40,19:50,19:55,20:05,20:10
0,20:40,20:50,20:55,21:05,21:10
0,21:40,21:50,21:55,22:05,22:10
0,22:40,22:50,22:55,23:05,23:10
