,0,1,2,3,4,5,6
0,Nigüelas,Dúrcal,Marchena,Padul,P.T. Ciencias Salud,Granada,Parque Sur de Bomberos
0,--,06:30,06:35,06:45,06:50,06:53,07:00
0,--,07:20,07:25,07:35,07:40,07:43,07:50
0,--,08:20,08:25,08:35,08:40,08:43,08:50
0,--,09:30,09:35,09:45,09:50,09:53,10:00
0,10:20,10:30,10:35,10:45,10:50,10:53,11:00
0,--,11:30,11:35,11:45,11:50,11:53,12:00
0,12:20,12:30,12:35,12:45,12:50,12:53,13:00
0,--,13:30,13:35,13:45,13:50,13:53,14:00
0,14:20,14:30,14:35,14:45,14:50,14:53,15:00
0,--,15:30,15:35,15:45,15:50,15:53,16:00
0,16:20,16:30,16:35,16:45,16:50,16:53,17:00
0,--,17:30,17:35,17:45,17:50,17:53,18:00
0,--,18:30,18:35,18:45,18:50,18:53,19:00
0,--,19:30,19:35,19:45,19:50,19:53,20:00
0,20:20,20:30,20:35,20:45,20:50,20:53,21:00
0,--,21:30,21:35,21:45,21:50,21:53,22:00
0,--,22:30,22:35,22:45,22:50,22:53,23:00
