,0,1,2,3
0,Granada,La Zubia,LaZubia-ParqueEncina,Cno. Forestal 2
0,07:20,07:26,07:30,07:45
0,07:30,07:36,07:40,07:50
0,08:20,08:26,08:30,08:45
0,08:30,08:36,08:40,08:50
0,08:30,08:36,08:40,08:50
0,09:20,09:26,09:30,09:45
0,09:30,09:36,09:40,09:50
0,09:30,09:36,09:40,09:50
0,10:20,10:26,10:30,10:45
0,10:30,10:36,10:40,10:50
0,10:30,10:36,10:40,10:50
0,11:20,11:26,11:30,11:45
0,11:30,11:36,11:40,11:50
0,11:30,11:36,11:40,11:50
0,12:20,12:26,12:30,12:45
0,12:30,12:36,12:40,12:50
0,12:30,12:36,12:40,12:50
0,13:20,13:26,13:30,13:45
0,13:30,13:36,13:40,13:50
0,13:30,13:36,13:40,13:50
0,14:20,14:26,14:30,14:45
0,14:30,14:36,14:40,14:50
0,14:30,14:36,14:40,14:50
0,15:20,15:26,15:30,15:45
0,15:30,15:36,15:40,15:50
0,15:30,15:36,15:40,15:50
0,16:20,16:26,16:30,16:45
0,16:30,16:36,16:40,16:50
0,16:30,16:36,16:40,16:50
0,17:20,17:26,17:30,17:45
0,17:30,17:36,17:40,17:50
0,17:30,17:36,17:40,17:50
0,18:20,18:26,18:30,18:45
0,18:30,18:36,18:40,18:50
0,18:30,18:36,18:40,18:50
0,19:20,19:26,19:30,19:45
0,19:30,19:36,19:40,19:50
0,19:30,19:36,19:40,19:50
0,20:20,20:26,20:30,20:45
0,20:30,20:36,20:40,20:50
0,20:30,20:36,20:40,20:50
0,21:20,21:26,21:30,21:45
0,21:30,21:36,21:40,21:50
0,21:30,21:36,21:40,21:50
0,22:30,22:36,22:40,22:50
0,22:30,22:36,22:40,22:50
0,22:30,22:36,22:40,22:55
0,23:00,23:06,23:10,23:20
0,23:00,23:06,23:10,23:20
