,0,1,2,3,4,5,6
0,Granada,Pulianillas,Pulianas,Güevéjar,Nívar,Cogollos Vega,Inst. Cogollos Vega
0,07:15,07:28,07:33,07:38,07:43,07:48,07:53
0,07:30,07:43,07:48,07:58,--,--,--
0,08:15,08:28,08:33,08:38,08:43,08:48,08:53
0,08:45,08:58,09:03,09:13,09:18,09:23,--
0,09:00,09:13,09:18,09:28,09:33,09:38,09:43
0,10:00,10:13,10:18,10:28,10:33,10:38,10:43
0,10:30,10:43,10:48,10:58,11:03,11:08,--
0,11:00,11:13,11:18,11:28,11:33,11:38,--
0,11:00,11:13,11:18,11:28,11:33,11:38,11:43
0,12:00,12:13,12:18,12:23,12:28,12:33,12:38
0,12:00,12:13,12:18,12:28,12:33,12:38,--
0,13:00,13:13,13:18,13:28,13:33,13:38,--
0,13:00,13:13,13:18,13:23,13:28,13:33,13:38
0,13:30,13:43,13:48,13:58,14:03,14:08,--
0,13:30,--,--,14:03,14:08,14:13,14:18
0,14:20,--,--,14:48,14:53,14:58,15:08
0,15:00,15:18,15:23,15:33,15:38,15:48,--
0,15:30,15:43,15:48,15:58,16:03,16:08,16:13
0,17:00,17:13,17:18,17:28,17:33,17:38,--
0,17:00,17:13,17:18,17:28,17:33,17:38,17:43
0,18:00,18:13,18:18,18:28,18:33,18:38,--
0,18:00,18:13,18:18,18:28,18:33,18:38,18:43
0,19:00,19:13,19:18,19:28,19:33,19:38,--
0,19:00,19:13,19:18,19:28,19:33,19:38,19:43
0,20:00,20:13,20:18,20:28,20:33,20:38,--
0,20:00,20:13,20:18,20:28,20:33,20:38,20:43
0,21:00,21:13,21:18,21:28,21:33,21:38,--
0,21:00,21:13,21:18,21:28,21:33,21:38,21:43
0,22:00,22:13,22:18,22:28,22:33,22:38,22:43
0,23:00,23:13,23:18,23:28,23:33,--,--
0,23:00,23:13,23:18,23:28,23:33,23:38,--
