,0,1,2,3,4
0,Granada,Jun (Cruce),Jun (Parque),Alfacar,Fuente Grande
0,07:25,07:38,07:40,07:58,08:02
0,07:45,07:58,08:00,08:18,08:20
0,08:30,08:45,--,09:02,09:05
0,09:00,09:15,--,09:32,09:35
0,09:30,09:45,--,10:02,10:05
0,10:00,10:18,10:20,10:33,10:35
0,10:30,10:45,--,11:02,11:05
0,11:00,11:18,11:20,11:33,11:35
0,11:30,11:45,--,12:02,12:05
0,12:00,12:18,12:20,12:33,12:35
0,12:30,12:45,--,13:02,13:05
0,13:00,13:13,13:15,13:33,13:35
0,13:30,13:45,--,14:02,14:05
0,14:00,14:15,14:20,14:33,14:36
0,14:30,14:48,14:50,15:02,15:05
0,15:00,15:15,--,15:32,15:35
0,15:30,15:43,15:45,16:02,16:05
0,16:00,16:15,--,16:32,16:35
0,17:00,17:15,--,17:32,17:35
0,18:00,18:15,--,18:32,18:35
0,19:00,19:15,--,19:32,19:35
0,20:00,20:15,--,20:32,20:35
0,21:00,21:15,--,21:32,21:35
0,22:00,22:15,--,22:32,22:35
0,23:00,23:18,23:20,23:30,23:35
