,0,1,2,3,4,5,6
0,Granada,Jun (Cruce),Jun (Iglesia),Jun (Parque),Urb. Abén Humeya,Víznar,Urb. Víznar
0,--,--,--,--,06:50,07:08,07:10
0,08:30,08:38,08:40,08:42,--,08:48,08:50
0,09:30,09:38,--,09:40,09:45,09:53,09:55
0,10:30,10:58,11:00,--,--,--,--
0,11:30,11:43,11:45,11:47,11:50,--,--
0,12:30,12:38,12:40,12:42,--,12:48,12:50
0,13:30,13:43,13:45,13:47,13:55,13:58,14:00
0,14:55,15:08,15:10,15:12,15:13,15:28,15:30
0,16:30,16:38,--,16:40,16:45,16:48,16:50
0,17:30,17:38,17:40,17:42,--,17:48,17:50
0,18:30,18:43,18:45,18:47,18:50,--,--
0,19:30,19:48,19:50,--,--,--,--
0,20:30,20:38,20:40,20:42,20:50,20:58,21:00
0,21:30,21:38,--,21:40,21:45,21:48,21:50
0,22:30,22:38,22:40,22:42,22:50,--,--
