,0,1,2,3,4
0,Güéjar Sierra,Pinos Genil,La Duquesa,Granada,Paseo los Basilios
0,06:45,07:00,07:05,07:15,07:20
0,06:50,--,07:00,07:15,07:20
0,07:10,07:25,07:30,07:55,08:00
0,08:00,--,08:10,08:35,08:40
0,08:00,08:15,08:20,08:35,08:40
0,08:00,--,08:10,08:25,08:30
0,08:50,09:05,09:10,09:25,09:30
0,09:10,--,09:20,09:45,09:50
0,09:30,09:45,09:50,10:05,10:10
0,10:10,--,10:25,10:45,10:50
0,10:50,11:05,11:10,11:25,11:30
0,11:15,--,11:30,11:50,11:55
0,11:30,11:45,11:50,12:05,12:10
0,12:10,--,12:25,12:45,12:50
0,12:45,--,13:00,13:20,13:25
0,12:50,13:05,13:10,13:25,13:30
0,13:00,--,13:10,13:35,13:40
0,13:30,13:45,13:50,14:05,14:10
0,14:10,--,14:25,14:45,14:50
0,15:00,--,15:10,15:35,15:40
0,15:00,15:15,15:20,15:35,15:40
0,16:20,--,16:35,16:55,17:00
0,17:00,--,17:10,17:35,17:40
0,17:40,17:55,18:00,18:15,18:20
0,18:00,--,18:10,18:35,18:40
0,19:00,19:15,19:20,19:35,19:40
0,20:00,--,20:10,20:25,20:30
0,20:00,--,20:10,20:25,20:30
0,20:20,--,20:35,20:55,21:00
0,21:15,--,21:30,21:50,21:55
0,21:40,21:55,22:00,22:15,22:20
