,0,1,2
0,Santa Fé,Granada,Rector Marín Ocete
0,07:10,07:20,07:35
0,07:50,08:00,08:15
0,08:00,08:10,08:25
0,08:10,08:20,08:35
0,08:50,09:00,09:15
0,09:00,09:10,09:25
0,09:00,09:10,09:25
0,09:10,09:20,09:35
0,09:50,10:00,10:15
0,10:00,10:10,10:25
0,10:00,10:10,10:25
0,10:10,10:20,10:35
0,10:50,11:00,11:15
0,11:00,11:10,11:25
0,11:00,11:10,11:25
0,11:10,11:20,11:35
0,11:50,12:00,12:15
0,12:00,12:10,12:25
0,12:00,12:10,12:25
0,12:10,12:20,12:35
0,12:50,13:00,13:15
0,13:00,13:10,13:25
0,13:00,13:10,13:25
0,13:10,13:20,13:35
0,13:50,14:00,14:15
0,14:00,14:10,14:25
0,14:00,14:10,14:25
0,14:10,14:20,14:35
0,14:50,15:00,15:15
0,15:00,15:10,15:25
0,15:00,15:10,15:25
0,15:10,15:20,15:35
0,15:50,16:00,16:15
0,16:00,16:10,16:25
0,16:00,16:10,16:25
0,16:10,16:20,16:35
0,16:50,17:00,17:15
0,17:00,17:10,17:25
0,17:00,17:10,17:25
0,17:10,17:20,17:35
0,17:50,18:00,18:15
0,18:00,18:10,18:25
0,18:00,18:10,18:25
0,18:10,18:20,18:35
0,18:50,19:00,19:15
0,19:00,19:10,19:25
0,19:00,19:10,19:25
0,19:10,19:20,19:35
0,19:50,20:00,20:15
0,20:00,20:10,20:25
0,20:00,20:10,20:25
0,20:10,20:20,20:35
0,20:50,21:00,21:15
0,21:00,21:10,21:25
0,21:00,21:10,21:25
0,21:10,21:20,21:35
0,21:50,22:00,22:15
0,22:00,22:10,22:25
0,22:00,22:10,22:25
0,22:10,22:20,22:35
0,22:50,23:00,23:15
0,23:00,23:10,23:25
0,23:00,23:10,23:25
