,0,1,2,3,4,5,6,7
0,Brácana,Tocón,Alomartes,Íllora,Zujaira,Pinos Puente,Granada,Severo Ochoa
0,06:35,06:40,06:50,06:55,07:05,07:15,07:35,07:50
0,--,07:15,07:30,07:35,07:45,07:55,08:00,08:15
0,--,07:15,07:25,07:30,07:40,07:50,08:20,08:40
0,--,--,08:15,08:20,08:30,08:40,09:00,09:15
0,08:55,09:00,09:10,09:15,09:25,09:35,09:55,10:10
0,09:25,09:30,09:40,09:45,09:55,10:05,10:10,10:25
0,--,09:30,09:40,09:45,09:55,10:00,10:20,10:30
0,--,--,10:00,10:05,10:15,10:25,10:45,11:00
0,--,12:00,12:10,12:15,12:25,12:35,12:40,13:00
0,--,12:00,12:10,12:15,12:25,12:30,12:50,13:00
0,--,--,12:00,12:05,12:15,12:25,12:45,13:00
0,13:05,13:10,13:20,13:25,13:35,13:45,14:05,14:20
0,--,14:30,14:40,14:45,14:55,15:05,15:30,--
0,15:00,15:05,15:10,15:15,15:25,15:35,15:40,15:55
0,15:10,15:15,15:25,15:30,15:40,15:50,16:10,16:25
0,15:55,16:00,16:05,16:10,16:20,16:25,16:45,17:00
0,16:10,16:20,16:30,16:35,16:45,16:55,17:15,17:30
0,17:25,17:30,17:35,17:40,17:50,18:00,18:05,18:20
0,17:30,17:35,17:45,17:50,18:00,18:10,18:30,18:45
0,17:55,18:00,18:05,18:10,18:20,18:35,18:55,19:05
0,19:05,19:10,19:20,19:25,19:35,19:45,20:05,20:20
