,0,1,2,3,4,5
0,Urb. El Torreón,Albolote,Políg. Juncaril,Urb. Villasol,Granada,Rector Marín Ocete
0,06:45,06:55,07:10,07:20,07:25,07:30
0,07:15,07:25,07:40,--,07:55,08:00
0,07:45,07:55,08:10,08:20,08:25,08:30
0,08:15,08:25,08:40,--,08:55,09:00
0,08:45,08:55,09:10,09:20,09:25,09:30
0,09:15,09:25,09:40,--,09:55,10:00
0,09:45,09:55,10:10,--,10:25,10:30
0,--,10:30,10:45,--,10:55,11:00
0,--,11:00,11:15,11:20,11:25,11:30
0,--,11:30,11:45,--,11:55,12:00
0,--,12:00,12:15,--,12:25,12:30
0,--,12:30,12:45,--,12:55,13:00
0,--,13:00,13:15,--,13:25,13:30
0,13:45,13:55,14:10,--,14:25,14:30
0,14:15,14:25,14:40,--,14:55,15:00
0,14:45,14:55,15:10,15:20,15:25,15:30
0,15:15,15:25,15:40,--,15:55,16:00
0,15:45,15:55,16:10,16:20,16:25,16:30
0,--,17:00,17:15,17:20,17:25,17:30
0,--,18:00,18:15,--,18:25,18:30
0,18:15,18:25,18:40,--,18:55,19:00
0,19:15,19:25,19:40,--,19:55,20:00
0,19:45,19:55,20:10,20:20,20:25,20:30
0,20:45,20:55,21:10,21:20,21:25,21:30
