,0,1,2,3,4,5,6,7
0,Inst. Cogollos Vega,Cogollos Vega,Nívar,Güevéjar,Pulianas,Pulianillas,Granada,Prof. Emilio Orozco
0,--,07:00,07:05,07:10,07:15,07:20,07:22,07:30
0,--,07:30,07:35,07:40,07:50,07:55,08:02,08:15
0,--,08:00,08:05,08:10,08:20,08:25,08:28,08:40
0,--,08:00,08:05,08:10,08:15,--,08:18,08:30
0,--,--,--,08:10,--,08:20,08:27,08:40
0,--,09:00,--,09:10,--,--,09:23,09:40
0,--,--,--,09:10,--,--,09:23,09:40
0,--,09:30,--,09:40,09:50,09:55,09:58,10:10
0,--,10:00,10:05,10:10,10:20,10:25,10:28,10:40
0,--,10:00,--,10:10,10:20,10:25,10:31,10:45
0,--,11:00,--,11:10,11:20,11:25,11:31,11:45
0,--,11:15,--,11:25,11:35,11:40,11:43,11:55
0,--,12:00,--,12:10,12:20,12:25,12:28,12:40
0,--,12:00,--,12:10,12:20,12:25,12:31,12:45
0,--,12:45,--,12:55,13:05,13:10,13:13,13:25
0,--,12:45,--,13:00,--,--,13:13,13:30
0,--,13:45,--,13:55,--,--,14:03,14:15
0,14:40,14:45,--,14:50,--,--,15:03,15:15
0,--,15:30,15:35,15:40,15:50,15:55,15:58,16:10
0,--,16:00,16:05,16:10,16:20,16:25,16:28,16:40
0,--,16:00,16:05,16:10,16:20,16:24,16:31,16:40
0,--,--,--,16:20,16:25,16:30,16:35,16:45
0,--,17:00,17:05,17:10,17:20,17:25,17:32,17:45
0,--,18:00,--,18:10,18:20,18:25,18:28,18:40
0,--,18:00,--,18:10,18:20,18:25,18:31,18:45
0,--,19:00,--,19:10,19:20,19:25,19:28,19:40
0,--,19:00,--,19:10,19:20,19:25,19:31,19:45
0,--,20:00,--,20:10,20:20,20:25,20:28,20:40
0,--,20:00,--,20:10,20:20,20:25,20:31,20:45
0,--,21:00,--,21:10,21:20,21:25,21:31,21:45
0,--,22:00,--,22:10,22:20,22:25,22:28,22:40
0,--,22:00,--,22:10,22:20,22:25,22:31,22:45
