,0,1,2,3,4,5,6
0,Víznar,Alfacar,Jun (Cruce),Jun (Iglesia),Jun (Parque),Granada,Capitán Moreno
0,08:10,08:30,08:40,08:41,08:42,08:50,09:00
0,09:25,09:45,10:00,10:01,10:02,10:10,10:20
0,09:40,10:00,10:15,10:16,10:17,10:22,10:30
0,11:40,12:00,12:15,12:16,12:17,12:22,12:30
0,--,11:45,12:00,12:01,12:02,12:10,12:20
0,--,13:45,14:00,14:01,14:02,14:10,14:20
0,15:40,16:00,16:15,16:16,16:17,16:22,16:30
0,15:55,16:15,16:25,16:26,16:27,16:40,16:50
0,--,17:45,18:00,18:01,18:02,18:10,18:20
0,18:40,19:00,19:15,19:16,19:17,19:22,19:30
0,--,19:45,20:00,20:01,20:02,20:10,20:20
0,21:55,--,21:59,22:11,22:12,22:20,22:31
