,0,1,2
0,Granada,LaZubia-ParqueEncina,LaZubia-Polideport.
0,07:35,07:55,08:05
0,08:00,08:15,08:20
0,08:35,08:55,09:05
0,09:00,09:15,09:20
0,09:00,09:15,09:20
0,09:35,09:55,10:05
0,10:00,10:15,10:20
0,10:00,10:15,10:20
0,10:35,10:55,11:05
0,11:00,11:15,11:20
0,11:00,11:15,11:20
0,11:35,11:55,12:05
0,12:00,12:15,12:20
0,12:00,12:15,12:20
0,12:35,12:55,13:05
0,13:00,13:15,13:20
0,13:00,13:15,13:20
0,13:35,13:55,14:05
0,14:00,14:15,14:20
0,14:00,14:15,14:20
0,14:35,14:55,15:05
0,15:00,15:15,15:20
0,15:00,15:15,15:20
0,15:35,15:55,16:05
0,16:00,16:15,16:20
0,16:00,16:15,16:20
0,16:35,16:55,17:05
0,17:00,17:15,17:20
0,17:00,17:15,17:20
0,17:35,17:55,18:05
0,18:00,18:15,18:20
0,18:00,18:15,18:20
0,18:35,18:55,19:05
0,19:00,19:15,19:20
0,19:00,19:15,19:20
0,19:35,19:55,20:05
0,20:00,20:15,20:20
0,20:00,20:15,20:20
0,20:35,20:55,21:05
0,21:00,21:15,21:20
0,21:00,21:15,21:20
0,21:35,21:55,22:05
0,22:00,22:15,22:20
0,22:00,22:15,22:20
