,0,1,2,3,4,5,6
0,Víznar,Urb. Abén Humeya,Jun (Cruce),Jun (Iglesia),Jun (Parque),Granada,Capitán Moreno
0,07:10,--,--,--,--,--,--
0,07:35,--,07:55,07:56,07:57,08:05,08:15
0,08:50,--,09:00,09:01,09:02,09:15,09:25
0,09:55,10:10,10:15,--,10:17,10:20,10:30
0,--,--,11:00,11:01,11:02,11:15,11:25
0,--,11:50,12:00,12:01,12:02,12:15,12:25
0,12:50,--,13:00,13:01,13:02,13:15,13:25
0,14:00,14:10,14:15,14:16,14:17,14:30,14:40
0,15:50,--,16:00,16:01,16:02,16:20,16:30
0,16:50,16:55,17:00,--,17:02,17:15,17:25
0,17:50,--,18:00,18:01,18:02,18:15,18:25
0,--,18:50,19:00,19:01,19:02,19:15,19:25
0,--,--,20:00,20:01,20:02,20:15,20:25
0,21:00,21:05,21:10,--,21:12,21:15,21:25
0,21:50,--,22:00,22:01,22:02,22:15,22:25
