,0,1
0,Granada,Aeropuerto
0,05:00,05:45
0,07:00,07:45
0,08:15,09:00
0,10:00,10:45
0,10:01,10:46
0,10:30,11:15
0,11:30,12:15
0,12:30,13:15
0,13:30,14:15
0,14:15,15:00
0,15:20,16:05
0,16:30,17:15
0,17:00,17:45
0,17:30,18:15
0,18:20,19:05
0,20:00,20:45
0,21:45,22:30
