,0,1,2,3,4,5,6,7
0,Obéilar,Escóznar,Valderrubio,Fuente Vaqueros,Pedro Ruiz,Santa Fé,Granada,Rector Marín Ocete
0,06:50,07:00,07:05,07:15,07:20,07:30,07:40,07:50
0,--,--,07:25,07:35,07:40,07:51,08:01,08:10
0,07:50,08:00,08:05,08:15,08:20,08:30,08:40,08:50
0,09:50,10:00,10:05,10:15,10:20,10:30,10:40,10:50
0,11:50,12:00,12:05,12:15,12:20,12:30,12:40,12:50
0,13:50,14:00,14:05,14:15,14:20,14:30,14:40,14:50
0,15:50,16:00,16:05,16:15,16:20,16:30,16:40,16:50
0,17:50,18:00,18:05,18:15,18:20,18:30,18:40,18:50
0,19:50,20:00,20:05,20:15,20:20,20:30,20:40,20:50
0,20:50,21:00,21:05,21:15,21:20,21:30,21:40,21:50
