,0,1,2,3,4,5,6,7
0,Zuj-Iglesia,Casanueva,Pinos Puente,E. Atarfe,Granada,E. Atarfe,Granada,Rector Marín Ocete
0,06:50,06:52,06:55,07:02,07:07,07:09,07:09,07:18
0,07:20,07:22,07:24,07:32,07:37,07:39,07:39,07:47
0,07:50,07:52,07:54,08:02,08:07,08:09,08:09,08:17
0,08:20,08:22,08:24,08:32,08:37,08:39,08:39,08:47
0,08:20,08:25,08:29,08:37,08:42,08:44,08:44,08:52
0,08:20,08:25,08:29,08:37,08:42,08:44,08:44,08:52
0,11:20,11:25,11:29,11:37,11:42,11:44,11:44,11:52
0,11:20,11:25,11:29,11:37,11:42,11:44,11:44,11:52
0,11:30,11:32,11:34,11:42,11:47,11:49,11:49,11:57
0,12:30,12:32,12:34,12:42,12:47,12:49,12:49,12:57
0,14:20,14:22,14:24,14:32,14:37,14:39,14:39,14:47
0,14:20,14:25,14:29,14:37,14:42,14:44,14:44,14:52
0,14:20,14:25,14:29,14:37,14:42,14:44,14:44,14:52
0,15:00,15:02,15:04,15:12,15:17,15:19,15:19,15:27
0,15:30,15:32,15:34,15:42,15:47,15:49,15:49,15:57
0,16:00,16:02,16:04,16:12,16:17,16:19,16:19,16:27
0,16:20,16:25,16:29,16:37,16:42,16:44,16:44,16:52
0,16:20,16:25,16:29,16:37,16:42,16:44,16:44,16:52
0,17:00,17:02,17:04,17:12,17:17,17:19,17:19,17:27
0,18:20,18:25,18:29,18:37,18:42,18:44,18:44,18:52
0,18:20,18:25,18:29,18:37,18:42,18:44,18:44,18:52
0,19:00,19:02,19:04,19:12,19:17,19:19,19:19,19:27
0,21:00,21:02,21:04,21:12,21:17,21:19,21:19,21:27
0,21:20,21:25,21:29,21:37,21:42,21:44,21:44,21:52
0,21:20,21:25,21:29,21:37,21:42,21:44,21:44,21:52
0,21:50,21:55,21:59,22:07,22:12,22:14,22:14,22:22
0,22:20,22:25,22:29,22:37,22:42,22:44,22:44,22:52
0,22:20,22:25,22:29,22:37,22:42,22:44,22:44,22:52
0,22:50,22:55,22:59,23:07,23:12,23:14,23:14,23:22
0,22:50,22:55,22:59,23:07,23:12,23:14,23:14,23:22
0,22:50,22:55,22:57,23:06,23:11,23:13,23:13,23:21
