,0,1,2,3
0,Armilla,P.T. Ciencias Salud,Granada,Parque Sur de Bomberos
0,06:55,07:10,07:13,07:20
0,07:45,08:00,08:10,08:15
0,09:00,09:15,09:25,09:30
0,10:00,10:15,10:25,10:30
0,11:00,11:15,11:25,11:30
0,12:00,12:15,12:25,12:30
0,13:00,13:15,13:25,13:30
0,14:00,14:15,14:25,14:30
0,15:00,15:15,15:25,15:30
0,16:00,16:15,16:25,16:30
0,17:00,17:15,17:25,17:30
0,18:00,18:15,18:25,18:30
0,19:00,19:15,19:25,19:30
0,20:00,20:15,20:25,20:30
0,21:00,21:15,21:25,21:30
0,22:00,22:15,22:25,22:30
0,23:00,23:15,23:25,23:30
