,0,1,2,3,4,5
0,La Zubia,Bellavista,Cájar,Huétor Vega,Granada,Paseo los Basilios
0,07:15,07:20,07:25,07:30,07:40,07:45
0,08:15,08:20,08:25,08:30,08:40,08:45
0,08:20,08:25,08:30,08:35,08:45,08:55
0,08:30,08:35,08:40,08:45,08:55,09:05
0,09:15,09:20,09:25,09:30,09:40,09:45
0,09:20,09:25,09:30,09:35,09:45,09:55
0,09:30,09:35,09:40,09:45,09:55,10:05
0,10:15,10:20,10:25,10:30,10:40,10:45
0,10:20,10:25,10:30,10:35,10:45,10:55
0,10:30,10:35,10:40,10:45,10:55,11:05
0,11:15,11:20,11:25,11:30,11:40,11:45
0,11:20,11:25,11:30,11:35,11:45,11:55
0,11:30,11:35,11:40,11:45,11:55,12:05
0,12:15,12:20,12:25,12:30,12:40,12:45
0,12:20,12:25,12:30,12:35,12:45,12:55
0,12:30,12:35,12:40,12:45,12:55,13:05
0,13:15,13:20,13:25,13:30,13:40,13:45
0,13:20,13:25,13:30,13:35,13:45,13:55
0,13:30,13:35,13:40,13:45,13:55,14:05
0,14:15,14:20,14:25,14:30,14:40,14:45
0,14:20,14:25,14:30,14:35,14:45,14:55
0,14:30,14:35,14:40,14:45,14:55,15:05
0,15:20,15:25,15:30,15:35,15:45,15:50
0,15:30,15:35,15:40,15:45,15:55,16:05
0,15:30,15:35,15:40,15:45,15:55,16:05
0,16:20,16:25,16:30,16:35,16:45,16:50
0,16:30,16:35,16:40,16:45,16:55,17:05
0,16:30,16:35,16:40,16:45,16:55,17:05
0,17:20,17:25,17:30,17:35,17:45,17:50
0,17:30,17:35,17:40,17:45,17:55,18:05
0,18:20,18:25,18:30,18:35,18:45,18:50
0,18:30,18:35,18:40,18:45,18:55,19:05
0,18:30,18:35,18:40,18:45,18:55,19:05
0,19:20,19:25,19:30,19:35,19:45,19:50
0,19:30,19:35,19:40,19:45,19:55,20:05
0,19:30,19:35,19:40,19:45,19:55,20:05
0,20:20,20:25,20:30,20:35,20:45,20:50
0,20:30,20:35,20:40,20:45,20:55,21:05
0,21:20,21:25,21:30,21:35,21:45,21:50
0,21:30,21:35,21:40,21:45,21:55,22:05
0,21:30,21:35,21:40,21:45,21:55,22:05
0,22:20,22:25,22:30,22:35,22:45,22:50
0,22:30,22:35,22:40,22:45,22:55,23:05
