,0,1,2
0,Granada,Pinos Puente,Las Flores
0,08:15,08:45,08:50
0,08:45,09:15,09:20
0,09:15,09:45,09:50
0,09:45,10:15,10:20
0,10:15,10:45,10:50
0,11:15,11:45,11:50
0,12:15,12:45,12:50
0,12:45,13:15,13:20
0,13:15,13:45,13:50
0,14:30,15:00,15:05
0,14:30,15:00,15:05
0,15:45,16:15,16:20
0,16:30,17:00,17:05
0,16:30,17:00,17:05
0,16:45,17:15,17:20
0,17:15,17:45,17:50
0,17:45,18:15,18:20
0,18:30,19:00,19:05
0,18:30,19:00,19:05
0,18:45,19:15,19:20
0,19:15,19:45,19:50
0,19:30,20:00,20:05
0,19:30,20:00,20:05
0,19:45,20:15,20:20
0,20:45,21:15,21:20
0,21:45,22:15,22:20
