,0,1,2,3
0,Lomalinda,Ogíjares,Granada,Tierno Galván
0,07:05,07:15,07:25,07:35
0,07:40,07:50,08:05,08:10
0,07:45,07:55,08:05,08:15
0,08:05,08:15,08:25,08:35
0,08:40,08:50,09:05,09:10
0,08:40,08:50,09:05,09:10
0,08:45,08:55,09:05,09:15
0,09:05,09:15,09:25,09:35
0,09:40,09:50,10:05,10:10
0,09:40,09:50,10:05,10:10
0,09:45,09:55,10:05,10:15
0,10:05,10:15,10:25,10:35
0,10:40,10:50,11:05,11:10
0,10:40,10:50,11:05,11:10
0,11:05,11:15,11:25,11:35
0,11:40,11:50,12:05,12:10
0,11:40,11:50,12:05,12:10
0,11:45,11:55,12:05,12:15
0,12:05,12:15,12:25,12:35
0,12:40,12:50,13:05,13:10
0,12:40,12:50,13:05,13:10
0,12:45,12:55,13:05,13:15
0,13:05,13:15,13:25,13:35
0,13:40,13:50,14:05,14:10
0,13:40,13:50,14:05,14:10
0,13:45,13:55,14:05,14:15
0,14:05,14:15,14:25,14:35
0,14:40,14:50,15:05,15:10
0,14:40,14:50,15:05,15:10
0,14:45,14:55,15:05,15:15
0,15:05,15:15,15:25,15:35
0,15:40,15:50,16:05,16:10
0,15:40,15:50,16:05,16:10
0,15:45,15:55,16:05,16:15
0,16:05,16:15,16:25,16:35
0,16:40,16:50,17:05,17:10
0,16:40,16:50,17:05,17:10
0,16:45,16:55,17:05,17:15
0,17:05,17:15,17:25,17:35
0,17:40,17:50,18:05,18:10
0,17:40,17:50,18:05,18:10
0,17:45,17:55,18:05,18:15
0,18:05,18:15,18:25,18:35
0,18:40,18:50,19:05,19:10
0,18:40,18:50,19:05,19:10
0,18:45,18:55,19:05,19:15
0,19:05,19:15,19:25,19:35
0,19:40,19:50,20:05,20:10
0,19:40,19:50,20:05,20:10
0,19:45,19:55,20:05,20:15
0,20:05,20:15,20:25,20:35
0,20:40,20:50,21:05,21:10
0,20:40,20:50,21:05,21:10
0,20:45,20:55,21:05,21:15
0,21:05,21:15,21:25,21:35
0,21:40,21:50,22:05,22:10
0,21:40,21:50,22:05,22:10
0,22:05,22:15,22:25,22:35
