,0,1,2,3,4
0,Granada,Huétor Vega,Barrio Monachil,Bellavista,Libreros
0,07:30,07:40,07:50,07:54,07:55
0,08:00,08:10,08:20,08:24,08:25
0,08:30,08:40,08:50,08:54,08:55
0,09:00,09:10,09:20,09:24,09:25
0,09:30,09:40,09:50,09:54,09:55
0,10:00,10:10,10:20,10:24,10:25
0,10:30,10:40,10:50,10:54,10:55
0,11:00,11:10,11:20,11:24,11:25
0,11:30,11:40,11:50,11:54,11:55
0,12:00,12:10,12:20,12:24,12:25
0,12:30,12:40,12:50,12:54,12:55
0,13:00,13:10,13:20,13:24,13:25
0,13:30,13:40,13:50,13:54,13:55
0,14:00,14:10,14:20,14:24,14:25
0,14:30,14:40,14:50,14:54,14:55
0,15:00,15:10,15:20,15:24,15:25
0,15:30,15:40,15:50,15:54,15:55
0,16:30,16:40,16:50,16:54,16:55
0,17:30,17:40,17:50,17:54,17:55
0,18:30,18:40,18:50,18:54,18:55
0,19:30,19:40,19:50,19:54,19:55
0,20:30,20:40,20:50,20:54,20:55
0,21:30,21:40,21:50,21:54,21:55
0,22:30,22:40,22:50,22:54,22:55
