,0,1,2,3,4,5
0,Fuente Vaqueros,Chauchina,El Jau,Santa Fé,Granada,Rector Marín Ocete
0,--,07:00,07:10,07:20,07:24,07:43
0,--,08:30,--,08:33,08:34,08:53
0,10:00,10:10,10:20,10:30,10:34,10:53
0,--,10:10,10:20,10:30,10:34,10:53
0,11:00,11:10,11:20,11:30,11:34,11:53
0,17:00,17:10,17:20,17:30,17:34,17:53
0,--,17:10,17:20,17:30,17:34,17:53
0,18:00,18:10,18:20,18:30,18:34,18:53
0,--,18:10,18:20,18:30,18:34,18:53
0,20:00,20:10,20:20,20:30,20:34,20:53
0,20:00,20:10,20:20,20:30,20:37,20:56
0,--,20:10,20:20,20:30,20:37,20:56
0,21:00,21:10,21:20,21:30,21:34,21:53
0,--,21:10,21:20,21:30,21:34,21:53
0,--,22:45,--,22:48,22:49,23:08
