,0,1,2,3,4,5,6,7,8
0,El Ventorrillo,Belicena,Purchil,Ambroz,Cúllar Vega,Churriana De La Vega,Armilla,Granada,Parque Sur de Bomberos
0,06:45,06:50,06:55,07:00,07:05,07:15,07:20,07:23,07:30
0,08:15,08:20,08:25,08:30,08:35,08:45,08:50,08:53,09:00
0,09:45,09:50,09:55,10:00,10:05,10:15,10:20,10:23,10:30
0,11:15,11:20,11:25,11:30,11:35,11:45,11:50,11:53,12:00
0,12:45,12:50,12:55,13:00,13:05,13:15,13:20,13:23,13:30
0,14:15,14:20,14:25,14:30,14:35,14:45,14:50,14:53,15:00
0,15:45,15:50,15:55,16:00,16:05,16:15,16:20,16:23,16:30
0,17:15,17:20,17:25,17:30,17:35,17:45,17:50,17:53,18:00
0,18:45,18:50,18:55,19:00,19:05,19:15,19:20,19:23,19:30
0,20:15,20:20,20:25,20:30,20:35,20:45,20:50,20:53,21:00
0,21:45,21:50,21:55,22:00,22:05,22:15,22:20,22:23,22:30
