,0,1,2,3,4,5
0,Granada,Santa Fé,El Jau,Chauchina,Fuente Vaqueros,Ayuntamiento
0,06:30,06:50,06:55,07:00,--,--
0,06:30,06:50,06:54,07:05,--,--
0,09:00,09:20,09:25,09:35,--,--
0,09:00,09:20,09:25,09:35,--,--
0,09:00,09:20,09:25,09:35,09:45,09:50
0,10:00,10:20,10:25,10:35,--,--
0,10:00,10:20,10:25,10:35,10:40,10:45
0,13:45,--,14:02,14:10,--,--
0,16:00,16:20,16:25,16:35,--,--
0,16:00,16:20,16:25,16:35,--,--
0,16:00,16:20,16:25,16:35,16:40,16:45
0,17:00,17:20,17:25,17:35,--,--
0,17:00,17:20,17:25,17:35,--,--
0,17:00,17:20,17:25,17:35,17:40,17:45
0,19:00,19:20,19:25,19:35,--,--
0,19:00,19:20,19:25,19:35,--,--
0,19:00,19:20,19:25,19:35,19:40,19:45
0,20:00,20:20,20:25,20:35,--,--
0,20:00,20:20,20:25,20:35,--,--
0,20:00,20:20,20:25,20:35,20:40,20:45
0,22:00,22:20,22:25,22:35,--,--
