,0,1,2,3,4,5,6
0,Granada,Pinos Puente,Zujaira,Íllora,Alomartes,Brácana,Tocón
0,07:15,07:40,07:45,07:55,08:00,--,--
0,07:50,08:20,08:30,08:40,08:45,08:55,09:00
0,08:30,08:50,09:00,09:10,09:15,09:25,09:30
0,09:00,09:25,09:30,09:40,09:45,--,--
0,10:30,10:50,11:00,11:10,11:15,--,11:25
0,11:00,11:20,11:30,11:40,11:45,--,11:55
0,11:00,11:25,11:30,11:40,11:45,--,--
0,12:00,12:30,12:40,12:50,12:55,13:05,13:10
0,13:00,13:20,13:30,13:40,13:45,--,13:55
0,13:00,13:30,13:35,13:45,13:50,14:00,14:15
0,14:00,14:20,14:30,14:40,14:45,14:55,15:00
0,14:00,14:30,14:35,14:45,14:50,15:10,15:15
0,15:00,15:35,15:45,15:55,16:00,16:10,16:20
0,16:30,16:50,17:00,17:10,17:15,17:25,17:30
0,16:30,16:55,17:00,17:10,17:15,17:30,17:35
0,17:00,17:20,17:30,17:40,17:45,17:55,18:00
0,18:00,18:30,18:40,18:50,18:50,19:05,19:10
0,19:00,19:20,19:30,19:40,19:45,19:55,20:00
0,19:00,19:25,19:30,19:40,19:45,19:55,20:15
0,19:30,19:50,20:00,20:10,20:15,20:25,20:30
0,20:30,21:00,21:10,21:20,21:25,21:35,21:40
0,21:30,21:55,22:00,22:10,22:15,22:25,22:30
