,0,1,2,3,4,5,6,7
0,Láchar,Cijuela,Romilla,Chauchina,El Jau,Santa Fé,Granada,Rector Marín Ocete
0,07:10,07:20,07:25,07:30,07:35,07:40,07:50,08:00
0,07:20,07:30,07:35,07:40,07:45,07:50,08:00,08:10
0,07:50,07:55,08:00,08:10,08:20,08:30,08:40,08:50
0,11:50,11:55,12:00,12:10,12:20,12:30,12:40,12:50
0,11:50,11:55,12:00,12:10,12:20,12:30,12:40,12:50
0,13:50,13:55,14:00,14:10,14:20,14:30,14:40,14:50
0,15:50,15:55,16:00,16:10,16:20,16:30,16:40,16:50
0,18:50,18:55,19:00,19:10,19:20,19:30,19:40,19:50
0,21:50,21:55,22:00,22:10,22:20,22:30,22:40,22:50
