,0,1,2,3
0,Granada,Huétor Vega,Mundo Nuevo,Pza. San Miguel
0,07:30,07:50,07:58,08:00
0,08:00,08:20,08:28,08:30
0,08:30,08:50,08:58,09:00
0,09:00,09:20,09:28,09:30
0,09:30,09:50,09:58,10:00
0,10:00,13:20,13:28,13:30
0,10:00,10:20,10:28,10:30
0,10:00,10:20,10:28,10:30
0,10:30,13:50,13:58,14:00
0,11:00,11:20,11:28,11:30
0,11:30,11:50,11:58,12:00
0,12:00,12:20,12:28,12:30
0,12:30,12:50,12:58,13:00
0,13:00,13:20,13:28,13:30
0,13:30,13:50,13:58,14:00
0,14:00,14:20,14:28,14:30
0,14:30,14:50,14:58,15:00
0,15:00,15:20,15:28,15:30
0,15:30,15:50,15:58,16:00
0,16:00,16:20,16:28,16:30
0,16:00,16:20,16:28,16:30
0,16:30,16:50,16:58,17:00
0,17:00,17:20,17:28,17:30
0,17:00,17:20,17:28,17:30
0,17:30,17:50,17:58,18:00
0,18:00,18:20,18:28,18:30
0,18:00,18:20,18:28,18:30
0,18:30,18:50,18:58,19:00
0,19:00,19:20,19:28,19:30
0,19:00,19:20,19:28,19:30
0,19:30,19:50,19:58,20:00
0,20:00,20:20,20:28,20:30
0,20:00,20:20,20:28,20:30
0,20:30,20:50,20:58,21:00
0,21:00,21:20,21:28,21:30
0,21:00,21:20,21:28,21:30
0,21:30,21:50,21:58,22:00
0,22:00,22:20,22:28,22:30
0,22:00,22:20,22:28,22:30
0,22:30,22:50,22:58,23:00
0,23:00,23:20,23:28,23:30
0,23:30,23:50,23:58,00:00
