,0,1,2,3,4,5
0,Granada,Huétor Vega,Cájar,Barrio Monachil,Monachil,Pza. Miraflores
0,07:20,07:30,07:35,07:45,07:48,07:50
0,08:10,08:20,08:25,08:35,08:38,08:40
0,08:15,08:25,08:30,08:40,08:43,08:45
0,09:10,09:20,09:25,09:35,09:38,09:40
0,09:15,09:25,09:30,09:40,09:43,09:45
0,10:10,10:20,10:25,10:35,10:38,10:40
0,10:15,10:25,10:30,10:40,10:43,10:45
0,11:10,11:20,11:25,11:35,11:38,11:40
0,11:15,11:25,11:30,11:40,11:43,11:45
0,12:10,12:20,12:25,12:35,12:38,12:40
0,12:15,12:25,12:30,12:40,12:43,12:45
0,13:10,13:20,13:25,13:35,13:38,13:40
0,13:15,13:25,13:30,13:40,13:43,13:45
0,14:10,14:20,14:25,14:35,14:38,14:40
0,14:15,14:25,14:30,14:40,14:43,14:45
0,15:10,15:20,15:25,15:35,15:38,15:40
0,16:10,16:20,16:25,16:35,16:38,16:40
0,17:10,17:20,17:25,17:35,17:38,17:40
0,18:10,18:20,18:25,18:35,18:38,18:40
0,19:10,19:20,19:25,19:35,19:38,19:40
0,20:10,20:20,20:25,20:35,20:38,20:40
0,21:10,21:20,21:25,21:35,21:38,21:40
0,22:10,22:20,22:25,22:35,22:38,22:40
0,23:10,23:20,23:25,23:35,23:38,23:40
