,0,1,2,3,4
0,Bellavista,Barrio Monachil,Huétor Vega,Granada,Paseo los Basilios
0,07:00,07:05,07:15,07:25,07:30
0,07:30,07:35,07:45,07:55,08:00
0,08:00,08:05,08:15,08:25,08:30
0,08:30,08:35,08:45,08:55,09:00
0,09:00,09:05,09:15,09:25,09:30
0,09:30,09:35,09:45,09:55,10:00
0,10:00,10:05,10:15,10:25,10:30
0,10:30,10:35,10:45,10:55,11:00
0,11:00,11:05,11:15,11:25,11:30
0,11:30,11:35,11:45,11:55,12:00
0,12:00,12:05,12:15,12:25,12:30
0,12:30,12:35,12:45,12:55,13:00
0,13:00,13:05,13:15,13:25,13:30
0,13:30,13:35,13:45,13:55,14:00
0,14:00,14:05,14:15,14:25,14:30
0,14:30,14:35,14:45,14:55,15:00
0,15:00,15:05,15:15,15:25,15:30
0,15:30,15:35,15:45,15:55,16:00
0,16:00,16:05,16:15,16:25,16:30
0,17:00,17:05,17:15,17:25,17:30
0,18:00,18:05,18:15,18:25,18:30
0,19:00,19:05,19:15,19:25,19:30
0,20:00,20:05,20:15,20:25,20:30
0,21:00,21:05,21:15,21:25,21:30
0,22:00,22:05,22:15,22:25,22:30
