,0,1,2,3,4,5
0,Granada,P.T. Ciencias Salud,Padul,Marchena,Dúrcal,Nigüelas
0,06:30,06:37,06:55,07:00,07:05,--
0,07:20,07:27,07:50,08:00,08:05,--
0,08:20,08:27,08:50,09:00,09:05,--
0,09:30,09:37,10:00,10:10,10:15,10:20
0,10:30,10:37,11:00,11:10,11:15,--
0,11:30,11:37,12:00,12:10,12:15,12:20
0,12:30,12:37,13:00,13:10,13:15,--
0,13:30,13:37,14:00,14:10,14:15,14:20
0,14:30,14:37,15:00,15:10,15:15,--
0,15:30,15:37,16:00,16:10,16:15,16:20
0,16:30,16:37,17:00,17:10,17:15,--
0,17:30,17:37,18:00,18:10,18:15,--
0,18:30,18:37,19:00,19:10,19:15,--
0,19:30,19:37,20:00,20:10,20:15,20:20
0,20:30,20:37,21:00,21:10,21:15,--
0,21:30,21:37,22:00,22:10,22:15,--
