,0,1,2,3,4
0,Dílar,Gójar,Ogíjares,Granada,Tierno Galván
0,06:45,06:55,07:00,07:10,07:15
0,06:45,06:55,07:00,07:15,07:25
0,07:15,07:25,07:30,07:45,07:55
0,07:30,07:40,07:45,08:05,08:15
0,07:40,07:50,07:55,08:10,08:20
0,08:15,08:25,08:30,08:50,09:00
0,08:15,08:25,08:30,08:50,09:00
0,08:15,08:25,08:30,08:45,08:55
0,08:45,08:55,09:00,09:15,09:25
0,09:00,09:10,09:15,09:35,09:45
0,09:00,09:10,09:15,09:35,09:45
0,09:15,09:25,09:35,09:50,10:00
0,09:45,09:55,10:00,10:20,10:30
0,09:45,09:55,10:00,10:20,10:30
0,09:45,09:55,10:00,10:15,10:25
0,10:15,10:25,10:30,10:45,10:55
0,10:30,10:40,10:45,11:05,11:15
0,10:30,10:40,10:45,11:05,11:15
0,10:45,10:55,11:00,11:15,11:25
0,11:15,11:25,11:30,11:50,12:00
0,11:15,11:25,11:30,11:50,12:00
0,11:15,11:25,11:30,11:45,11:55
0,11:45,11:55,12:00,12:15,12:25
0,12:00,12:10,12:15,12:35,12:45
0,12:00,12:10,12:15,12:35,12:45
0,12:15,12:25,12:30,12:45,12:55
0,12:45,12:55,13:00,13:20,13:30
0,12:45,12:55,13:00,13:15,13:25
0,12:45,12:55,13:00,13:20,13:30
0,13:15,13:25,13:30,13:45,13:55
0,13:30,13:40,13:45,14:05,14:15
0,13:30,13:40,13:45,14:05,14:15
0,13:45,13:55,14:00,14:15,14:25
0,14:15,14:25,14:30,14:50,15:00
0,14:15,14:25,14:25,14:40,14:50
0,14:15,14:25,14:30,14:50,15:00
0,14:45,14:55,15:00,15:15,15:25
0,15:00,15:10,15:15,15:35,15:45
0,15:00,15:10,15:15,15:35,15:45
0,15:15,15:25,15:30,15:45,15:55
0,15:45,15:55,16:00,16:20,16:30
0,15:45,15:55,16:00,16:15,16:25
0,15:45,15:55,16:00,16:20,16:30
0,16:15,16:25,16:30,16:45,16:55
0,16:30,16:40,16:45,17:05,17:15
0,16:30,16:40,16:45,17:05,17:15
0,16:45,16:55,17:00,17:15,17:25
0,17:15,17:25,17:30,17:50,18:00
0,17:15,17:25,17:30,17:50,18:00
0,17:15,17:25,17:30,17:45,17:55
0,17:45,17:55,18:00,18:15,18:25
0,18:00,18:10,18:15,18:35,18:45
0,18:00,18:10,18:15,18:35,18:45
0,18:15,18:25,18:30,18:45,18:55
0,18:45,18:55,19:00,19:20,19:30
0,18:45,18:55,19:00,19:15,19:25
0,18:45,18:55,19:00,19:20,19:30
0,19:15,19:25,19:25,19:40,19:50
0,19:30,19:40,19:45,20:05,20:15
0,19:30,19:40,19:45,20:05,20:15
0,19:45,20:00,20:00,20:15,20:25
0,20:15,20:25,20:30,20:50,21:00
0,20:15,20:25,20:30,20:45,20:55
0,20:15,20:25,20:30,20:50,21:00
0,20:45,20:55,20:55,21:10,21:20
0,21:00,21:10,21:15,21:35,21:45
0,21:00,21:10,21:15,21:35,21:45
0,21:15,21:25,21:30,21:45,21:55
0,21:45,21:55,22:00,22:20,22:30
0,21:45,21:55,22:00,22:15,22:25
0,21:45,21:55,21:55,22:15,22:25
0,22:15,22:25,22:30,22:45,22:55
0,22:30,22:40,22:45,23:05,23:15
