,0,1,2
0,Granada,Santa Fé,Santa Fé de Bogotá 2
0,07:20,07:30,07:45
0,07:30,07:40,07:55
0,07:40,07:55,08:10
0,08:20,08:40,09:00
0,08:30,08:40,08:55
0,08:30,08:40,08:55
0,08:40,09:00,09:15
0,09:20,09:35,09:50
0,09:30,09:40,09:55
0,09:30,09:40,09:55
0,09:40,10:00,10:15
0,10:20,10:35,10:50
0,10:30,10:40,10:55
0,10:30,10:40,10:55
0,10:40,11:00,11:15
0,11:20,11:40,11:55
0,11:30,11:40,11:55
0,11:30,11:40,11:55
0,11:40,12:00,12:15
0,12:20,12:35,12:50
0,12:30,12:40,12:55
0,12:30,12:40,12:55
0,12:45,12:55,13:10
0,13:20,13:30,13:45
0,13:30,13:40,13:55
0,13:30,13:40,13:55
0,13:45,13:55,14:10
0,14:20,14:30,14:45
0,14:30,14:40,14:55
0,14:30,14:40,14:55
0,14:45,14:55,15:10
0,15:20,15:30,15:45
0,15:30,15:40,15:55
0,15:30,15:40,15:55
0,15:45,15:55,16:10
0,16:20,16:30,16:45
0,16:30,16:40,16:55
0,16:30,16:40,16:55
0,16:40,16:50,17:05
0,17:20,17:30,17:45
0,17:30,17:40,17:55
0,17:30,17:40,17:55
0,17:40,17:50,18:05
0,18:20,18:30,18:45
0,18:30,18:40,18:55
0,18:30,18:40,18:55
0,18:40,18:50,19:05
0,19:20,19:30,19:45
0,19:30,19:40,19:55
0,19:30,19:40,19:55
0,19:40,19:50,20:05
0,20:20,20:30,20:45
0,20:30,20:40,20:55
0,20:30,20:40,20:55
0,20:40,20:50,21:05
0,21:20,21:30,21:45
0,21:30,21:40,21:55
0,21:30,21:40,21:55
0,21:40,21:50,22:05
0,22:20,22:30,22:45
0,22:30,22:40,22:55
0,22:30,22:40,22:55
