,0,1,2,3
0,La Zubia,LaZubia-ParqueEncina,Granada,Tierno Galván
0,06:45,07:00,07:10,07:20
0,06:50,07:00,07:10,07:30
0,07:45,08:00,08:10,08:20
0,07:50,08:00,08:10,08:30
0,07:50,08:00,08:10,08:30
0,08:45,09:00,09:10,09:20
0,08:50,09:00,09:10,09:30
0,08:50,09:00,09:10,09:30
0,09:45,10:00,10:10,10:20
0,09:50,10:00,10:10,10:30
0,09:50,10:00,10:10,10:30
0,10:45,11:00,11:10,11:20
0,10:50,11:00,11:10,11:30
0,10:50,11:00,11:10,11:30
0,11:45,12:00,12:10,12:20
0,11:50,12:00,12:10,12:30
0,11:50,12:00,12:10,12:30
0,12:45,13:00,13:10,13:20
0,12:50,13:00,13:10,13:30
0,12:50,13:00,13:10,13:30
0,13:45,14:00,14:10,14:20
0,13:50,14:00,14:10,14:30
0,13:50,14:00,14:10,14:30
0,14:45,15:00,15:10,15:20
0,14:50,15:00,15:10,15:30
0,14:50,15:00,15:10,15:30
0,15:45,16:00,16:10,16:20
0,15:50,16:00,16:10,16:30
0,15:50,16:00,16:10,16:30
0,16:45,17:00,17:10,17:20
0,16:50,17:00,17:10,17:30
0,16:50,17:00,17:10,17:30
0,17:45,18:00,18:10,18:20
0,17:50,18:00,18:10,18:30
0,17:50,18:00,18:10,18:30
0,18:45,19:00,19:10,19:20
0,18:50,19:00,19:10,19:30
0,18:50,19:00,19:10,19:30
0,19:45,20:00,20:10,20:20
0,19:50,20:00,20:10,20:30
0,19:50,20:00,20:10,20:30
0,20:45,21:00,21:10,21:20
0,20:50,21:00,21:10,21:30
0,20:50,21:00,21:10,21:30
0,21:45,22:00,22:10,22:20
0,21:50,22:00,22:10,22:30
0,21:50,22:00,22:10,22:30
