,0,1,2,3,4,5,6,7
0,Urb. Molino Alto,Otura,Urb.Suspiro del Moro,Alhendín,Armilla,P.T. Ciencias Salud,Granada,Parque Sur de Bomberos
0,06:40,06:45,--,06:55,07:05,07:12,07:15,07:20
0,07:00,07:05,--,07:15,07:25,07:32,07:35,07:40
0,07:10,07:15,--,07:25,07:35,07:42,07:45,07:50
0,--,07:50,--,08:00,08:10,08:17,08:20,08:25
0,--,--,08:00,08:05,08:15,08:22,08:25,08:30
0,--,08:00,--,08:10,08:20,08:27,08:30,08:35
0,08:25,08:30,--,08:40,08:50,08:57,09:00,09:05
0,08:55,09:00,--,09:10,09:20,09:27,09:30,09:35
0,08:55,09:00,--,09:10,09:20,09:27,09:30,09:35
0,09:00,09:05,--,09:15,09:25,09:32,09:35,09:40
0,--,--,09:00,09:10,09:20,09:27,09:30,09:35
0,--,09:45,--,09:55,10:05,10:12,10:15,10:20
0,10:25,10:30,--,10:35,10:45,10:52,10:55,11:00
0,10:25,10:30,--,10:40,10:50,10:57,11:00,11:05
0,10:25,10:30,10:35,10:40,10:50,10:57,11:00,11:05
0,--,11:15,--,11:25,11:35,11:42,11:45,11:50
0,11:55,12:00,--,12:10,12:20,12:27,12:30,12:35
0,12:40,12:45,--,12:55,13:05,13:12,13:15,13:20
0,13:25,13:30,--,13:40,13:50,13:57,14:00,14:05
0,14:10,14:15,--,14:25,14:35,14:42,14:45,14:50
0,14:55,15:00,--,15:10,15:20,15:27,15:30,15:35
0,15:40,15:45,--,15:55,16:05,16:12,16:15,16:20
0,16:25,16:30,--,16:40,16:50,16:57,17:00,17:05
0,--,17:15,17:20,17:25,17:35,17:42,17:45,17:50
0,17:50,18:00,--,18:10,18:20,18:27,18:30,18:35
0,17:55,18:00,--,18:10,18:20,18:27,18:30,18:35
0,17:55,18:00,--,18:10,18:20,18:27,18:30,18:35
0,--,18:45,--,18:55,19:05,19:12,19:15,19:20
0,19:20,19:30,--,19:40,19:50,19:57,20:00,20:05
0,19:25,19:30,--,19:40,19:50,19:57,20:00,20:05
0,19:25,19:30,--,19:40,19:50,19:57,20:00,20:05
0,--,20:15,--,20:25,20:35,20:42,20:45,20:50
0,20:55,21:00,--,21:10,21:20,21:27,21:30,21:35
0,21:40,21:45,--,21:55,22:05,22:12,22:15,22:20
0,22:25,22:30,--,22:40,22:50,22:57,23:00,23:05
0,22:25,22:30,--,22:40,22:50,22:57,23:00,23:05
0,22:30,22:35,--,22:45,22:55,23:02,23:05,23:10
