,0,1,2,3
0,El Carmelo,Armilla,Granada,Parque Sur de Bomberos
0,--,06:45,07:07,07:10
0,--,07:10,07:32,07:35
0,07:30,07:35,07:57,08:00
0,--,07:45,08:02,08:05
0,--,08:00,08:22,08:25
0,08:20,08:25,08:45,08:50
0,--,08:25,08:47,08:50
0,--,08:50,09:12,09:15
0,09:10,09:15,09:37,09:40
0,--,09:15,09:35,09:40
0,--,09:40,10:02,10:05
0,--,10:05,10:27,10:30
0,--,10:05,10:25,10:30
0,10:25,10:30,10:52,10:55
0,--,10:55,11:15,11:20
0,--,10:55,11:17,11:20
0,--,11:20,11:42,11:45
0,11:40,11:45,12:05,12:10
0,--,11:45,12:07,12:10
0,--,12:10,12:32,12:35
0,--,12:35,12:57,13:00
0,--,12:35,12:55,13:00
0,--,13:00,13:22,13:25
0,--,13:25,13:47,13:50
0,--,13:25,13:45,13:50
0,--,13:50,14:12,14:15
0,14:10,14:15,14:35,14:40
0,--,14:15,14:37,14:40
0,14:35,14:40,15:02,15:05
0,15:00,15:05,15:27,15:30
0,--,15:05,15:25,15:30
0,--,15:30,15:52,15:55
0,15:50,15:55,16:15,16:20
0,--,15:55,16:17,16:20
0,--,16:20,16:42,16:45
0,16:40,16:45,17:07,17:10
0,--,16:45,17:05,17:10
0,--,17:10,17:32,17:35
0,17:30,17:35,17:55,18:00
0,--,17:35,17:57,18:00
0,--,18:00,18:22,18:25
0,18:20,18:25,18:47,18:50
0,--,18:25,18:45,18:50
0,--,18:50,19:12,19:15
0,--,19:15,19:35,19:40
0,--,19:15,19:37,19:40
0,19:35,19:35,19:57,20:00
0,--,20:05,20:27,20:30
0,--,20:05,20:25,20:30
0,--,20:30,20:52,20:55
0,20:50,20:55,21:17,21:20
0,20:50,20:55,21:15,21:20
0,--,21:20,21:42,21:45
0,--,21:45,22:07,22:10
0,--,21:45,22:05,22:10
0,22:05,22:10,22:32,22:35
0,22:30,22:35,22:55,23:00
0,--,22:35,22:57,23:00
