,0,1,2,3,4
0,Granada,La Zubia,LaZubia-ParqueEncina,LaZubia-CentroSalud,Cno. Forestal 2
0,07:50,08:02,08:05,08:10,08:15
0,08:50,09:02,09:05,09:10,09:15
0,09:50,10:02,10:05,10:10,10:15
0,10:50,11:02,11:05,11:10,11:15
0,11:50,12:02,12:05,12:10,12:15
0,12:50,13:02,13:05,13:10,13:15
0,13:50,14:02,14:05,14:10,14:15
0,14:50,15:02,15:05,15:10,15:15
0,15:50,16:02,16:05,16:10,16:15
0,16:50,17:02,17:05,17:10,17:15
0,17:50,18:02,18:05,18:10,18:15
0,18:50,19:02,19:05,19:10,19:15
0,19:50,20:02,20:05,20:10,20:15
0,20:50,21:02,21:05,21:10,21:15
0,21:50,22:02,22:05,22:10,22:15
0,23:00,23:12,23:15,23:20,23:25
