,0,1,2,3,4,5,6
0,Granada,P.T. Ciencias Salud,Alhendín,Padul,Marchena,Dúrcal,Nigüelas
0,06:50,--,07:10,07:20,07:25,07:30,07:35
0,07:00,07:07,07:20,07:30,07:35,07:40,07:45
0,07:50,--,08:10,08:20,08:25,08:30,08:35
0,08:00,08:07,08:20,08:30,08:35,08:40,08:45
0,08:50,--,09:10,09:20,09:25,09:30,09:35
0,09:00,09:07,09:20,09:30,09:35,09:40,09:45
0,10:00,10:07,10:15,10:25,10:30,10:35,10:40
0,10:00,10:07,10:20,10:30,10:35,10:40,10:45
0,10:00,--,10:20,10:30,10:35,10:40,10:45
0,11:00,11:07,11:20,11:30,11:35,11:40,11:45
0,11:00,--,11:20,11:30,11:35,11:40,11:45
0,12:00,12:07,12:15,12:25,12:30,12:35,12:40
0,12:00,12:07,12:20,12:30,12:35,12:40,12:45
0,12:00,--,12:20,12:30,12:35,12:40,12:45
0,13:00,13:07,13:20,13:30,13:35,13:40,13:45
0,13:00,--,13:20,13:30,13:35,13:40,13:45
0,14:00,14:07,14:15,14:25,14:30,14:35,14:40
0,14:00,14:07,14:20,14:30,14:35,14:40,14:45
0,14:00,--,14:20,14:30,14:35,14:40,14:45
0,15:00,15:07,15:15,15:25,15:30,15:35,15:40
0,15:00,15:07,15:20,15:30,15:35,15:40,15:45
0,15:00,--,15:20,15:30,15:35,15:40,15:45
0,16:00,16:07,16:15,16:25,16:30,16:35,16:40
0,16:00,16:07,16:20,16:30,16:35,16:40,16:45
0,16:00,--,16:20,16:30,16:35,16:40,16:45
0,17:00,17:07,17:15,17:25,17:30,17:35,17:40
0,17:00,17:07,17:20,17:30,17:35,17:40,17:45
0,17:00,--,17:20,17:30,17:35,17:40,17:45
0,18:00,18:07,18:15,18:25,18:30,18:35,18:40
0,18:00,18:07,18:20,18:30,18:35,18:40,18:45
0,18:30,--,18:50,19:00,19:05,19:10,19:15
0,19:00,19:07,19:15,19:25,19:30,19:35,19:40
0,19:00,--,19:20,19:30,19:35,19:40,19:45
0,19:00,19:07,19:20,19:30,19:35,19:40,19:45
0,20:00,20:07,20:15,20:25,20:30,20:35,20:40
0,20:00,20:07,20:20,20:30,20:35,20:40,20:45
0,20:00,--,20:20,20:30,20:35,20:40,20:45
0,21:00,21:07,21:15,21:25,21:30,21:35,21:40
0,21:00,--,21:20,21:30,21:35,21:40,21:45
0,21:00,21:07,21:20,21:30,21:35,21:40,21:45
0,22:00,22:07,22:15,22:25,22:30,22:35,22:40
0,22:00,22:07,22:20,22:30,22:35,22:40,22:45
