,0,1,2,3
0,Granada,Políg. Asegra,Peligros,Avda. Reina Sofía 2
0,07:00,07:20,07:27,07:30
0,07:30,07:50,07:57,08:00
0,08:00,08:20,08:27,08:30
0,08:30,08:50,08:57,09:00
0,09:00,09:20,09:27,09:30
0,09:30,09:50,09:57,10:00
0,10:00,10:20,10:27,10:30
0,10:30,10:50,10:57,11:00
0,11:00,11:20,11:27,11:30
0,11:30,11:50,11:57,12:00
0,12:00,12:20,12:27,12:30
0,12:30,12:50,12:57,13:00
0,13:00,13:20,13:27,13:30
0,13:30,13:50,13:57,14:00
0,14:00,14:20,14:27,14:30
0,14:30,14:50,14:57,15:00
0,15:00,15:20,15:27,15:30
0,15:30,15:50,15:57,16:00
0,16:00,16:20,16:27,16:30
0,16:30,16:50,16:57,17:00
0,17:00,17:20,17:27,17:30
0,17:30,17:50,17:57,18:00
0,18:00,18:20,18:27,18:30
0,18:30,18:50,18:57,19:00
0,19:00,19:20,19:27,19:30
0,19:30,19:50,19:57,20:00
0,20:00,20:20,20:27,20:30
0,20:30,20:50,20:57,21:00
0,21:00,21:20,21:27,21:30
0,21:30,21:50,21:57,22:00
0,22:00,22:20,22:27,22:30
0,22:30,22:50,22:57,23:00
0,23:00,23:20,23:27,23:30
0,23:00,23:15,23:22,23:25
