,0,1,2
0,Granada,Ogíjares,Lomalinda
0,07:35,07:55,08:05
0,08:10,08:30,08:40
0,08:15,08:35,08:45
0,08:35,08:55,09:05
0,09:10,09:30,09:40
0,09:10,09:30,09:40
0,09:15,09:35,09:45
0,09:35,09:55,10:05
0,10:10,10:30,10:40
0,10:10,10:30,10:40
0,10:15,10:35,10:45
0,10:35,10:55,11:05
0,11:10,11:30,11:40
0,11:10,11:30,11:40
0,11:15,11:35,11:45
0,11:35,11:55,12:05
0,12:10,12:30,12:40
0,12:10,12:30,12:40
0,12:15,12:35,12:45
0,12:35,12:55,13:05
0,13:10,13:30,13:40
0,13:10,13:30,13:40
0,13:15,13:35,13:45
0,13:35,13:55,14:05
0,14:10,14:30,14:40
0,14:10,14:30,14:40
0,14:15,14:35,14:45
0,14:35,14:55,15:05
0,15:10,15:30,15:40
0,15:10,15:30,15:40
0,15:15,15:35,15:45
0,15:35,15:55,16:05
0,16:10,16:30,16:40
0,16:10,16:30,16:40
0,16:15,16:35,16:45
0,16:35,16:55,17:05
0,17:10,17:30,17:40
0,17:10,17:30,17:40
0,17:15,17:35,17:45
0,17:35,17:55,18:05
0,18:10,18:30,18:40
0,18:10,18:30,18:40
0,18:15,18:35,18:45
0,18:35,18:55,19:05
0,19:10,19:30,19:40
0,19:10,19:30,19:40
0,19:15,19:35,19:45
0,19:35,19:55,20:05
0,20:10,20:30,20:40
0,20:10,20:30,20:40
0,20:15,20:35,20:45
0,20:35,20:55,21:05
0,21:10,21:30,21:40
0,21:10,21:30,21:40
0,21:15,21:35,21:45
0,21:35,21:55,22:05
0,22:10,22:30,22:40
0,22:10,22:30,22:40
0,22:35,22:55,23:05
0,23:00,23:20,23:30
