,0,1,2,3,4,5,6,7,8
0,Granada,Armilla,Churriana De La Vega,Cúllar Vega,Ambroz,Purchil,Belicena,El Ventorrillo,C/Clavel 2
0,--,--,--,--,06:40,06:45,06:50,06:54,06:55
0,07:15,07:21,07:26,07:31,07:41,07:46,07:51,07:55,07:56
0,07:30,07:36,07:41,07:46,07:56,08:01,08:06,08:10,08:11
0,08:45,08:51,08:56,09:01,09:11,09:16,09:21,09:25,09:26
0,09:00,09:06,09:11,09:16,09:26,09:31,09:36,09:40,09:41
0,09:00,09:06,09:11,09:16,09:26,09:31,09:36,09:40,09:41
0,10:15,10:21,10:26,10:31,10:41,10:46,10:51,10:55,10:56
0,10:30,10:36,10:41,10:46,10:56,11:01,11:06,11:10,11:11
0,10:30,10:36,10:41,10:46,10:56,11:01,11:06,11:10,11:11
0,11:45,11:51,11:56,12:01,12:11,12:16,12:21,12:25,12:26
0,12:00,12:06,12:11,12:16,12:26,12:31,12:36,12:40,12:41
0,12:00,12:06,12:11,12:16,12:26,12:31,12:36,12:40,12:41
0,13:15,13:21,13:26,13:31,13:41,13:46,13:51,13:55,13:56
0,13:30,13:36,13:41,13:46,13:56,14:01,14:06,14:10,14:11
0,13:30,13:36,13:41,13:46,13:56,14:01,14:06,14:10,14:11
0,14:45,14:51,14:56,15:01,15:11,15:16,15:21,15:25,15:26
0,15:00,15:06,15:11,15:16,15:26,15:31,15:36,15:40,15:41
0,15:00,15:06,15:11,15:16,15:26,15:31,15:36,15:40,15:41
0,15:45,15:51,15:56,16:01,16:11,16:16,16:21,16:25,16:26
0,16:15,16:21,16:26,16:31,16:41,16:46,16:51,16:55,16:56
0,16:30,16:36,16:41,16:46,16:56,17:01,17:06,17:10,17:11
0,16:30,16:36,16:41,16:46,16:56,17:01,17:06,17:10,17:11
0,17:15,17:21,17:26,17:31,17:41,17:46,17:51,17:55,17:56
0,17:45,17:51,17:56,18:01,18:11,18:16,18:21,18:25,18:26
0,18:00,18:06,18:11,18:16,18:26,18:31,18:36,18:40,18:41
0,18:00,18:06,18:11,18:16,18:26,18:31,18:36,18:40,18:41
0,18:45,18:51,18:56,19:01,19:11,19:16,19:21,19:25,19:26
0,19:15,19:21,19:26,19:31,19:41,19:46,19:51,19:55,19:56
0,19:30,19:36,19:41,19:46,19:56,20:01,20:06,20:10,20:11
0,19:30,19:36,19:41,19:46,19:56,20:01,20:06,20:10,20:11
0,20:15,20:21,20:26,20:31,20:41,20:46,20:51,20:55,20:56
0,20:45,20:51,20:56,21:01,21:11,21:16,21:21,21:25,21:26
0,21:00,21:06,21:11,21:16,21:26,21:31,21:36,21:40,21:41
0,21:00,21:06,21:11,21:16,21:26,21:31,21:36,21:40,21:41
0,22:15,22:21,22:26,22:31,22:41,22:46,22:51,22:55,22:56
0,23:00,23:06,23:11,23:16,23:26,23:31,23:36,23:40,23:41
